factor,statement_id,source_marker,direction,source_table
1,s2,D,higher,6.4
1,s25,D,higher,6.4
1,s23,D*,higher,6.4
1,s17,D*,lower,6.4
1,s27,D,lower,6.4
2,s3,D*,higher,6.6
2,s1,D*,higher,6.6
2,s6,D*,higher,6.6
2,s4,D,lower,6.6
2,s34,D,lower,6.6
2,s24,D*,lower,6.6
3,s32,D*,higher,6.8
3,s29,D*,higher,6.8
3,s43,D*,higher,6.8
3,s38,D*,higher,6.8
3,s31,D,lower,6.8
3,s8,D,lower,6.8
4,s30,D*,higher,6.10
4,s33,D*,higher,6.10
4,s15,D,lower,6.10
5,s9,D*,higher,6.12
5,s11,D*,higher,6.12
5,s45,D,higher,6.12
5,s36,D*,higher,6.12
5,s27,D*,higher,6.12
5,s35,D*,higher,6.12
5,s13,D*,lower,6.12
5,s2,D,lower,6.12
5,s43,D,lower,6.12
