statement_id,factor_1,factor_2,factor_3,factor_4,factor_5
s1,0,3,-3,-2,-1
s2,4,0,3,-1,-2
s3,2,4,2,0,0
s4,2,0,2,1,2
s5,1,2,3,4,1
s6,-2,1,-2,-3,-4
s7,1,2,2,0,2
s8,0,1,-2,-1,0
s9,0,0,0,2,4
s10,1,2,0,-1,-2
s11,-1,1,-1,1,3
s12,3,-1,2,2,-1
s13,1,1,1,1,-1
s14,-3,-3,-1,-3,-3
s15,-1,0,-1,-2,1
s16,-1,0,-3,-2,0
s17,-3,-1,-1,-1,-2
s18,1,-1,1,-1,2
s19,1,2,1,1,1
s20,2,2,0,3,-1
s21,-1,-2,-1,-1,-2
s22,1,3,2,2,3
s23,2,-2,0,0,0
s24,0,-2,1,0,2
s25,3,2,0,2,1
s26,-1,-2,1,1,0
s27,-3,-2,-3,-2,1
s28,-2,1,0,-2,-1
s29,-1,-1,3,1,0
s30,0,0,-1,3,0
s31,0,1,-1,1,2
s32,2,1,4,0,0
s33,-1,-1,-2,0,-2
s34,1,-1,0,3,3
s35,-2,-3,-2,-3,0
s36,-4,-4,-4,-4,1
s37,0,-2,-2,2,1
s38,0,-1,1,0,-1
s39,3,-1,0,2,-1
s40,2,3,0,-2,-1
s41,-2,0,1,-1,-2
s42,-2,0,-2,1,1
s43,-2,0,2,-1,-3
s44,0,-3,1,0,-3
s45,-1,1,-1,0,2
