participant,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45
P1,-2,4,0,2,2,-3,1,-1,1,1,-3,3,2,-1,0,1,-1,0,0,2,-2,1,0,1,3,-1,-2,-4,-1,-1,0,3,0,0,-1,-3,1,1,2,2,-2,-2,-2,0,-1
P2,-1,1,2,0,3,-1,0,0,3,1,2,1,-1,-3,-1,-2,-2,-2,0,3,-1,-2,2,1,2,0,-3,-1,1,0,2,1,2,1,-3,-4,4,0,1,-1,-2,-1,-2,0,0
P3,-2,1,2,-1,2,-3,4,-2,-1,-1,0,1,-1,0,0,-2,0,-1,2,0,1,2,2,-1,1,1,-2,-2,3,-1,0,3,0,-2,-3,-4,-3,-1,1,0,1,0,1,3,2
P4,-3,0,-1,1,0,-3,-1,-2,0,-2,-2,1,3,-3,-1,-1,1,-2,1,1,2,2,-2,0,2,3,-1,-1,1,2,0,-2,0,2,-1,-4,1,0,3,-1,0,1,0,4,2
P5,-1,-1,-1,-2,2,0,0,1,2,2,0,1,1,-1,0,1,-3,1,-1,0,0,1,3,-4,1,-2,-2,0,-2,2,-1,3,0,3,-1,-3,1,2,-2,2,-3,0,-2,4,-1
P6,0,-1,3,2,1,2,1,0,-1,2,1,-2,1,-3,0,1,-2,1,-2,0,0,3,-1,0,0,-2,-1,3,-3,-1,-1,1,2,-2,-3,-4,-1,-1,-2,4,2,1,0,0,2
P7,0,3,1,1,0,-2,0,2,-2,1,2,1,-1,-3,-2,0,-2,3,-1,1,2,-1,1,1,4,-1,-2,-1,-1,0,1,2,2,0,0,-3,2,-1,3,0,0,-4,-3,-1,-2
P8,0,3,1,2,1,-2,0,-1,2,4,0,3,0,-1,-1,-1,-3,1,-1,2,-1,1,2,1,1,-2,-3,-3,0,-1,0,2,-2,3,-2,-4,0,0,2,1,-2,0,1,-2,-1
P9,2,2,3,-1,2,1,0,1,1,0,-1,0,0,-2,1,2,-1,1,2,2,-3,0,-1,-3,3,0,-2,0,-2,0,1,1,4,-1,-2,-4,-2,-1,3,1,-1,-2,0,-3,-1
P10,2,3,3,2,1,-2,0,-1,0,4,-1,0,1,-3,0,0,-1,1,0,2,-1,-1,2,-1,3,0,-2,-3,2,1,-2,0,-2,0,-1,-4,1,1,1,2,-2,1,-3,-2,-1
P11,3,1,0,1,0,-1,3,0,0,0,1,0,-1,0,-2,2,-4,-1,0,4,-2,1,2,2,2,-3,-1,-2,-1,2,-1,1,1,2,-2,-1,1,-3,0,3,-1,-2,-3,-2,1
P12,1,-1,3,2,2,1,0,0,1,0,0,0,1,-3,0,1,-2,1,2,3,-4,3,1,-1,4,-1,-2,-3,-2,0,-1,0,-2,2,-2,-3,2,-1,1,2,-1,-1,-1,-2,0
P13,2,-2,4,0,2,0,3,-1,1,1,1,-1,2,-3,1,0,-2,-2,1,2,-4,3,-1,-3,3,-2,0,1,0,-1,0,0,-3,-1,0,-2,-1,-1,-2,2,2,1,1,-1,0
P14,1,0,1,0,4,-1,2,-1,2,2,2,1,-1,-2,-2,-1,-1,3,0,0,2,2,-2,0,-1,1,-3,3,3,-2,-3,0,0,1,-2,-4,1,0,-2,-1,1,-3,1,-1,0
P15,1,2,0,2,0,-2,4,0,0,2,3,0,-1,1,0,-1,-3,1,1,3,0,2,3,-1,2,0,-2,1,-1,-1,1,0,1,2,-2,-2,-3,-1,-1,1,-3,-4,-2,-2,-1
P16,2,1,2,0,1,-3,-2,0,0,0,0,3,1,-2,1,-1,-3,1,1,1,-2,0,3,1,2,-1,-3,-1,-1,2,0,2,-1,3,-2,-4,0,-1,4,2,-1,-2,-1,0,-2
P17,3,0,-1,-1,2,4,-2,2,1,-1,0,-3,0,-1,1,2,1,1,2,2,-1,1,0,-2,3,-1,0,-2,-3,1,1,-2,1,3,-2,-2,0,-3,0,0,-4,0,-1,-1,2
P18,-2,-2,4,0,2,-4,2,-1,1,-1,0,-1,-2,0,2,-1,-1,3,1,2,1,3,1,1,2,1,-2,0,0,-2,1,0,-1,0,1,-3,-3,0,-1,3,-3,-2,0,2,-1
P19,-1,0,-2,1,2,-3,1,0,4,-2,3,-1,0,-4,-1,-1,-1,1,1,-2,-3,2,0,2,0,1,3,-1,1,0,1,-1,-2,3,2,1,0,-2,0,0,-1,2,-2,-3,2
P20,0,4,1,2,1,-1,2,0,-1,1,-3,0,2,-2,-1,1,-2,0,1,1,1,-2,-2,-1,2,1,-4,0,0,2,0,3,-1,3,-2,-3,-1,2,3,0,-1,-2,-1,0,-3
