component,eigenvalue
1,15.1093464631
2,3.9597822331
3,3.0233705601
4,2.5773903223
5,1.7613850062
6,1.6933243669
7,1.6353037075
8,1.5267212889
9,1.4219039491
10,1.3895821193
11,1.2178301683
12,1.1624147134
13,1.0518989514
14,0.9859292773
15,0.8411271103
16,0.7593287349
17,0.7246142658
18,0.6594718841
19,0.6287475754
20,0.5804288967
21,0.5390800139
22,0.4909054486
23,0.4435925580
24,0.4266519520
25,0.3998652369
26,0.3351923701
27,0.2837113910
28,0.2125591594
29,0.1920502067
30,0.1740540467
31,0.1721047564
32,0.1176017275
33,0.1041157332
34,0.0889973713
35,0.0750030731
36,0.0665764276
37,0.0490577611
38,0.0418919248
39,0.0287892576
40,0.0185835926
41,0.0128878913
42,0.0094048018
43,0.0059097045
44,0.0015119996
45,0.0000000000
46,0.0000000000
47,-0.0000000000
