statement_id,source_factor_1,reproduced_factor_1,reproduced_z_factor_1,source_factor_2,reproduced_factor_2,reproduced_z_factor_2,source_factor_3,reproduced_factor_3,reproduced_z_factor_3,source_factor_4,reproduced_factor_4,reproduced_z_factor_4,source_factor_5,reproduced_factor_5,reproduced_z_factor_5
s1,0,0,-0.0634240265,3,3,1.8017504965,-3,-3,-1.9331660049,-2,-2,-1.4344252921,-1,-1,-0.6374789771
s2,4,4,2.3669846947,0,0,-0.3092395966,3,3,1.6535334696,-1,-1,-0.3394016796,-2,-2,-1.1996332019
s3,2,2,1.3328317218,4,4,2.9633490236,2,2,1.4690718720,0,0,0.3878463201,0,0,0.3432313373
s4,2,2,1.5947592554,0,0,0.1730474384,2,2,1.2227067176,1,1,0.8025141829,2,2,1.5157640011
s5,1,1,1.1926891731,2,2,1.5538034076,3,3,1.7956558947,4,4,2.2159474963,1,1,1.0656799094
s6,-2,-2,-1.5343367432,1,1,0.6064579503,-2,-2,-1.8778661204,-3,-3,-2.4386693891,-4,-4,-2.5814439105
s7,1,1,0.3626685890,2,2,1.2738303171,2,2,1.4018729497,0,0,0.2352690148,2,2,1.4185560895
s8,0,0,0.0289913202,1,1,0.3786798737,-2,-2,-1.3765882456,-1,-1,-0.4363976625,0,0,-0.5717990677
s9,0,0,0.0775676503,0,0,0.2409858861,0,0,0.4875058057,2,2,1.0299093726,4,4,3.0096448428
s10,1,1,0.9970869510,2,2,1.2026013240,0,0,-0.3957435486,-1,-1,-0.9718961200,-2,-2,-1.2189228876
s11,-1,-1,-0.5739491286,1,1,0.6697615454,-1,-1,-0.5595519376,1,1,0.5625339904,3,3,2.2189228876
s12,3,3,1.7546018876,-1,-1,-0.6823658257,2,2,1.2529533228,2,2,1.3942779973,-1,-1,-0.6374789771
s13,1,1,0.5151421602,1,1,0.4352934990,1,1,0.9839352178,1,1,0.5267202716,-1,-1,-0.9903551572
s14,-3,-3,-1.8695838305,-3,-3,-2.0348076329,-1,-1,-0.7878200214,-3,-3,-2.8182059733,-3,-3,-2.4938808417
s15,-1,-1,-0.5346075437,0,0,0.2528063543,-1,-1,-0.8436980845,-2,-2,-1.5590252580,1,1,0.7153972030
s16,-1,-1,-0.1264044180,0,0,0.3244261640,-3,-3,-1.8961568071,-2,-2,-1.3105205917,0,0,-0.5814439105
s17,-3,-3,-2.1601282962,-1,-1,-0.5281734833,-1,-1,-0.9610238073,-1,-1,-0.7536818913,-2,-2,-1.0972079116
s18,1,1,1.0109206573,-1,-1,-0.3917530873,1,1,0.5385234521,-1,-1,-0.5089324617,2,2,1.1532429782
s19,1,1,0.3296840168,2,2,1.0162126135,1,1,1.2037145589,1,1,0.9602794486,1,1,0.5814439105
s20,2,2,1.5884796151,2,2,1.1886584052,0,0,-0.0587008421,3,3,1.7337770392,-1,-1,-0.6471238199
s21,-1,-1,-0.6525930131,-2,-2,-1.5395698961,-1,-1,-0.5696755362,-1,-1,-0.5664971383,-2,-2,-1.0192896856
s22,1,1,0.3749601502,3,3,1.9365637303,2,2,1.4920704036,2,2,0.9833646589,3,3,1.8879298668
s23,2,2,1.4634765502,-2,-2,-1.0746920339,0,0,0.4962851010,0,0,0.4928222607,0,0,-0.6278341343
s24,0,0,0.1744344074,-2,-2,-1.1915933630,1,1,1.2005146768,0,0,0.4548542132,2,2,1.4842359989
s25,3,3,2.2082690854,2,2,1.2999231524,0,0,0.2120486079,2,2,1.4540131534,1,1,0.7250420459
s26,-1,-1,-0.8236685913,-2,-2,-0.9629676195,1,1,0.7289482259,1,1,0.7934757933,0,0,0.3721658657
s27,-3,-3,-2.5430997069,-2,-2,-1.2893598850,-3,-3,-1.9026382501,-2,-2,-1.0195636526,1,1,0.4063177729
s28,-2,-2,-1.7447978161,1,1,0.6617503624,0,0,0.5284638493,-2,-2,-1.1594080170,-1,-1,-0.6374789771
s29,-1,-1,-0.3077805415,-1,-1,-0.6121775083,3,3,1.6682292907,1,1,0.7691561313,0,0,0.3721658657
s30,0,0,-0.1209074375,0,0,-0.3099101631,-1,-1,-0.8653515957,3,3,1.5676046753,0,0,-0.5157640011
s31,0,0,-0.0318836753,1,1,0.8499187612,-1,-1,-0.5441904762,1,1,0.7509051759,2,2,1.5157640011
s32,2,2,1.7298715568,1,1,0.4318272837,4,4,2.3426660324,0,0,-0.0761679906,0,0,0.2968411135
s33,-1,-1,-0.7178018158,-1,-1,-0.4642682590,-2,-2,-1.1537013060,0,0,0.3850696047,-2,-2,-1.5814439105
s34,1,1,1.1086742074,-1,-1,-0.6915628941,0,0,0.0422309589,3,3,1.5431734164,3,3,2.0656799094
s35,-2,-2,-1.3220321797,-3,-3,-2.2651394402,-2,-2,-1.8540402496,-3,-3,-2.2530455818,0,0,-0.1751261376
s36,-4,-4,-3.3733592872,-4,-4,-2.7621102721,-4,-4,-2.8121092553,-4,-4,-2.8935933926,1,1,0.5814439105
s37,0,0,-0.1209223455,-2,-2,-1.5389027892,-2,-2,-1.5464032708,2,2,1.1425399841,1,1,0.4185560895
s38,0,0,0.3137875179,-1,-1,-0.9050963413,1,1,1.0137927890,0,0,-0.0266058980,-1,-1,-1.0096448428
s39,3,3,1.8598684711,-1,-1,-0.6136359359,0,0,0.0051857926,2,2,1.3175002484,-1,-1,-0.7250420459
s40,2,2,1.3851372808,3,3,1.6372262471,0,0,-0.3298947351,-2,-2,-1.0358176539,-1,-1,-0.9343200906
s41,-2,-2,-1.2095637932,0,0,0.2825232232,1,1,0.6156356535,-1,-1,-0.5230985613,-2,-2,-1.1532429782
s42,-2,-2,-1.6697224496,0,0,-0.0276455860,-2,-2,-1.6183391784,1,1,0.6603382167,1,1,0.9536097762
s43,-2,-2,-1.1766656367,0,0,0.0220360607,2,2,1.4584693565,-1,-1,-0.4893168916,-3,-3,-2.0000000000
s44,0,0,-0.0202538102,-3,-3,-1.6080426090,1,1,0.6573010454,0,0,0.1448339535,-3,-3,-1.7031588865
s45,-1,-1,-1.0734008335,1,1,0.5995811020,-1,-1,-0.5846557716,0,0,0.3055444777,2,2,1.6374789771
