participant,source_primary_factor,reproduced_primary_factor,matches
P1,1,1,true
P2,4,4,true
P3,3,3,true
P4,4,4,true
P5,1,1,true
P6,2,2,true
P7,1,1,true
P8,1,1,true
P9,2,2,true
P10,1,1,true
P11,1,1,true
P12,1,1,true
P13,2,2,true
P14,3,3,true
P15,1,1,true
P16,1,1,true
P17,3,3,true
P18,3,3,true
P19,5,5,true
P20,1,1,true
P21,3,3,true
P22,1,1,true
P23,3,3,true
P24,4,4,true
P25,1,1,true
P26,4,4,true
P27,1,1,true
P28,1,1,true
P29,1,1,true
P30,1,1,true
P31,3,3,true
P32,2,2,true
P33,1,1,true
P34,3,3,true
P35,2,2,true
P36,1,1,true
P37,4,4,true
P38,2,2,true
P39,3,3,true
P40,4,4,true
P41,3,3,true
P42,1,1,true
P43,1,1,true
P44,2,2,true
P45,5,5,true
P46,5,5,true
P47,4,4,true
