participant,factor_1,factor_2,factor_3,factor_4,factor_5
P1,0.7844260313,-0.0449975812,0.2350421934,0.2080918528,-0.0186443518
P2,0.5194239083,0.1225974909,0.0767217283,0.5372891999,0.1022730577
P3,0.1589664983,0.2328480619,0.6425285079,0.1342313976,-0.0142095057
P4,0.0639555541,-0.1149848345,0.2736651141,0.6113630208,-0.3526525243
P5,0.4728513592,0.0222544791,0.0101487043,0.1215499019,0.0092417735
P6,0.1245086889,0.6195066358,0.0815407218,-0.1361613013,0.0951241932
P7,0.7450905998,-0.0279864309,-0.0228612097,0.1116692913,0.0538340408
P8,0.7173914730,0.1343543566,0.2884578618,0.2336194869,0.1552866857
P9,0.5096025962,0.5901652739,-0.1268406824,0.1022587269,-0.2361434817
P10,0.7161305234,0.2329039913,0.0356805675,0.1525542896,0.0580235444
P11,0.5503643749,0.2539093460,-0.2386434224,0.1795323602,0.4121614256
P12,0.5679586417,0.4903021708,-0.0670549501,0.3931102519,0.1396993906
P13,0.0681781588,0.6845314811,0.1289322076,0.0537210380,0.2041868311
P14,0.0514654015,0.3827100294,0.4786944185,0.1344010051,0.1027691977
P15,0.5053229048,0.2964855402,0.1853908224,-0.0134744755,0.4110408504
P16,0.7708305475,0.1025883350,0.1665236422,0.2891970423,-0.0211266874
P17,0.1615807311,0.4583132376,-0.5479014356,0.3221040555,-0.0552344816
P18,0.2901108048,0.2783223696,0.4387996091,-0.0145770602,0.2783509684
P19,-0.1580227740,-0.0612715343,0.0520880757,0.5378429885,0.5745845230
P20,0.6514844654,0.0893951309,0.2890147942,0.0926518542,-0.3233220505
P21,0.4589714581,0.1223053370,0.6400463930,0.2631009782,-0.1224834443
P22,0.5615086120,0.2947532211,0.0902342225,0.3722940946,0.0079763619
P23,0.2595984258,-0.0204765403,0.7436691303,0.0569502458,0.0028640066
P24,0.2500456525,-0.1135488227,0.0679580437,0.6328476609,0.1485867403
P25,0.6924372458,0.2288428321,0.3200366940,0.1571930008,-0.0706822981
P26,0.3140908819,0.2707323629,0.1706884656,0.5968914839,-0.0760927757
P27,0.6181964505,0.1098116628,0.4459489616,0.1437364168,-0.1820742827
P28,0.5895035616,0.3016616697,0.5053175018,0.0811326420,0.0017738666
P29,0.6874128506,0.3301829513,0.1015003666,-0.0331779602,0.2286316156
P30,0.7004415044,-0.1765550380,0.4487837505,0.0362651685,0.0613283017
P31,0.3987726913,0.2018389742,0.4620349236,0.3097231425,-0.2161547968
P32,0.2044030224,0.5038817895,0.1700094311,-0.0515579833,-0.1077700263
P33,0.6276086943,-0.0326920130,0.4042244990,0.2590481385,-0.2356953336
P34,0.1731825887,0.0426873309,0.7176486680,0.3436816352,-0.1642014185
P35,0.4406226495,0.5458697606,-0.0249642876,0.1155347639,0.3388321831
P36,0.5606821143,-0.2064377935,0.4809954372,0.1721726345,-0.0137319115
P37,0.1691433846,0.0642390245,0.0057176960,0.4238970127,0.0337140458
P38,0.0401010023,0.5395383019,0.0618099656,0.2343003053,0.0930588402
P39,0.0877242809,0.3006898816,0.6861046397,-0.0327564745,-0.2066024888
P40,0.1926093577,0.4298841118,0.2719730369,0.5052528617,0.0956023058
P41,0.2743021227,0.2174474665,0.4432087708,0.3704999607,0.1524916817
P42,0.5725436910,0.0973234629,0.3176408407,0.2536620705,-0.4147986965
P43,0.5277906457,0.1811528001,0.2072449165,-0.2220407152,0.0287374891
P44,-0.1282062444,0.6104880532,0.1422197733,0.0044015124,0.0052180754
P45,0.0098690361,0.1171314875,-0.1662652312,0.0055634035,0.3637565960
P46,0.0744051389,0.1751502471,0.3665265538,0.3411089360,0.5255933095
P47,0.0590285089,-0.0209274782,0.4685355307,0.5450311918,0.2249119289
