participant,factor_1,factor_2,factor_3,factor_4,factor_5
P1,0.7586277752,-0.0549936031,0.2804960757,0.2404538970,-0.0118819696
P2,0.5089465015,0.1267065247,0.1000385946,0.5461968329,0.1163478897
P3,0.1426793475,0.2452574984,0.6404380659,0.1058201035,0.0287641580
P4,0.0160405235,-0.1252216263,0.3271787688,0.6336032736,-0.2615757783
P5,0.4709770271,0.0035541650,0.0381480554,0.1271562919,0.0306689363
P6,0.1260808195,0.6036850854,0.0840927465,-0.1232254722,0.1019451887
P7,0.7524413200,-0.0209073838,-0.0102563057,0.1106079557,-0.0296278506
P8,0.7083975768,0.1368497057,0.3081507317,0.2383577359,0.1579500628
P9,0.5108115830,0.5795005652,-0.1002642620,0.1120227505,-0.3411793174
P10,0.7094270847,0.2193398249,0.0686911378,0.1758707958,0.0398196257
P11,0.5847776530,0.2668641678,-0.2574411710,0.1649705769,0.3444827934
P12,0.5721017970,0.4842574073,-0.0476135956,0.4009361447,0.1230541118
P13,0.0735125192,0.6793905056,0.1208884137,0.0531395648,0.2273744286
P14,0.0445099611,0.4042813091,0.4606947259,0.1115449876,0.1128558675
P15,0.5433582929,0.3279268848,0.1412615695,-0.0680049355,0.3317382766
P16,0.7616948244,0.0966284224,0.2015629222,0.2928840174,-0.0361324068
P17,0.1845528513,0.4507224533,-0.5388586990,0.3217403863,-0.1345306789
P18,0.2895724088,0.2889373325,0.4259718496,-0.0278530887,0.3069780614
P19,-0.1208122655,-0.0105244119,-0.0136594285,0.4670217732,0.6004196792
P20,0.6255657520,0.0802575720,0.3336967903,0.1061596788,-0.3665964458
P21,0.4237910001,0.1286572712,0.6689448139,0.2644478820,-0.0875138034
P22,0.5457783355,0.2977670948,0.1174056583,0.3958719358,-0.0215851137
P23,0.2318591656,-0.0084290675,0.7501690879,0.0433976192,0.0620933862
P24,0.2313247163,-0.1089413342,0.0911700105,0.6490686181,0.2232628359
P25,0.6784385640,0.2221007059,0.3516442009,0.1592670515,-0.0823980288
P26,0.2993697453,0.2701457597,0.1967239787,0.5900919799,-0.0413094648
P27,0.5793436407,0.0948838769,0.4971342187,0.1742713782,-0.1519660738
P28,0.5714815540,0.2970738935,0.5290296036,0.0804131000,0.0215478229
P29,0.6990691635,0.3354735872,0.1001019517,-0.0332852564,0.1639760531
P30,0.6836401602,-0.1816956964,0.4761380442,0.0378943700,0.0960175349
P31,0.3685054533,0.1982691410,0.4979226339,0.3103056920,-0.1863694529
P32,0.2066260536,0.4981665051,0.1758272137,-0.0651801967,-0.1405175401
P33,0.5910183153,-0.0516614495,0.4599103400,0.2780760786,-0.1877422777
P34,0.1307012646,0.0489209136,0.7425795952,0.3396284808,-0.0787671236
P35,0.4641581128,0.5515063099,-0.0398678011,0.1033423083,0.3012060714
P36,0.5333446246,-0.2163594214,0.5176595650,0.1783177421,0.0619605995
P37,0.1565059248,0.0503255635,0.0317343356,0.4362587913,0.1089772338
P38,0.0566593029,0.5665503304,0.0349926793,0.2019056449,0.0239260810
P39,0.0574795300,0.3003607009,0.6990711877,-0.0423440221,-0.1639763334
P40,0.1839559127,0.4473011388,0.2703692266,0.4927221386,0.1099474151
P41,0.2718829357,0.2347529181,0.4358473204,0.3350632263,0.1915853920
P42,0.5204631203,0.0729602014,0.3905556004,0.3037803290,-0.3938452934
P43,0.5452519229,0.1939019137,0.1950725947,-0.2537115081,-0.0687532722
P44,-0.1395581973,0.5996613309,0.1474193994,0.0217879281,0.0376620971
P45,0.0416135126,0.1446951413,-0.2111921070,-0.0170290585,0.3017153687
P46,0.0974184399,0.2121995765,0.3177575400,0.2818112684,0.5719161302
