participant,factor_1,factor_2,factor_3,factor_4,factor_5
P1,0.7846000000,-0.0448000000,0.2348000000,0.2078000000,-0.0185000000
P2,0.5196000000,0.1229000000,0.0764000000,0.5371000000,0.1020000000
P3,0.1591000000,0.2327000000,0.6425000000,0.1344000000,-0.0145000000
P4,0.0646000000,-0.1146000000,0.2730000000,0.6111000000,-0.3537000000
P5,0.4729000000,0.0224000000,0.0100000000,0.1213000000,0.0094000000
P6,0.1243000000,0.6194000000,0.0819000000,-0.1363000000,0.0957000000
P7,0.7451000000,-0.0278000000,-0.0230000000,0.1113000000,0.0542000000
P8,0.7174000000,0.1344000000,0.2884000000,0.2336000000,0.1554000000
P9,0.5097000000,0.5905000000,-0.1269000000,0.1014000000,-0.2355000000
P10,0.7161000000,0.2331000000,0.0356000000,0.1522000000,0.0585000000
P11,0.5501000000,0.2539000000,-0.2385000000,0.1795000000,0.4126000000
P12,0.5680000000,0.4905000000,-0.0671000000,0.3928000000,0.1399000000
P13,0.0679000000,0.6844000000,0.1293000000,0.0537000000,0.2045000000
P14,0.0515000000,0.3825000000,0.4788000000,0.1346000000,0.1026000000
P15,0.5050000000,0.2963000000,0.1857000000,-0.0132000000,0.4115000000
P16,0.7710000000,0.1028000000,0.1663000000,0.2888000000,-0.0210000000
P17,0.1616000000,0.4587000000,-0.5480000000,0.3214000000,-0.0549000000
P18,0.2899000000,0.2780000000,0.4391000000,-0.0142000000,0.2785000000
P19,-0.1581000000,-0.0614000000,0.0522000000,0.5387000000,0.5737000000
P20,0.6518000000,0.0897000000,0.2887000000,0.0920000000,-0.3231000000
P21,0.4593000000,0.1224000000,0.6398000000,0.2630000000,-0.1228000000
P22,0.5617000000,0.2950000000,0.0901000000,0.3719000000,0.0080000000
P23,0.2597000000,-0.0207000000,0.7436000000,0.0573000000,0.0025000000
P24,0.2503000000,-0.1133000000,0.0676000000,0.6330000000,0.1478000000
P25,0.6926000000,0.2290000000,0.3199000000,0.1568000000,-0.0705000000
P26,0.3144000000,0.2711000000,0.1703000000,0.5966000000,-0.0766000000
P27,0.6184000000,0.1100000000,0.4457000000,0.1434000000,-0.1821000000
P28,0.5896000000,0.3016000000,0.5053000000,0.0810000000,0.0019000000
P29,0.6872000000,0.3301000000,0.1017000000,-0.0333000000,0.2293000000
P30,0.7005000000,-0.1766000000,0.4486000000,0.0363000000,0.0614000000
P31,0.3991000000,0.2020000000,0.4617000000,0.3094000000,-0.2165000000
P32,0.2044000000,0.5039000000,0.1701000000,-0.0519000000,-0.1074000000
P33,0.6280000000,-0.0325000000,0.4038000000,0.2587000000,-0.2359000000
P34,0.1736000000,0.0427000000,0.7173000000,0.3438000000,-0.1650000000
P35,0.4403000000,0.5458000000,-0.0247000000,0.1155000000,0.3394000000
P36,0.5609000000,-0.2064000000,0.4807000000,0.1722000000,-0.0140000000
P37,0.1693000000,0.0644000000,0.0055000000,0.4238000000,0.0333000000
P38,0.0401000000,0.5396000000,0.0619000000,0.2342000000,0.0931000000
P39,0.0879000000,0.3006000000,0.6861000000,-0.0328000000,-0.2068000000
P40,0.1928000000,0.4300000000,0.2719000000,0.5052000000,0.0952000000
P41,0.2744000000,0.2174000000,0.4431000000,0.3707000000,0.1520000000
P42,0.5730000000,0.0977000000,0.3172000000,0.2530000000,-0.4149000000
P43,0.5276000000,0.1811000000,0.2074000000,-0.2222000000,0.0294000000
P44,-0.1283000000,0.6104000000,0.1425000000,0.0043000000,0.0054000000
P45,0.0096000000,0.1170000000,-0.1660000000,0.0059000000,0.3640000000
P46,0.0742000000,0.1749000000,0.3667000000,0.3419000000,0.5251000000
P47,0.0592000000,-0.0210000000,0.4684000000,0.5456000000,0.2239000000
