run_id,factor_1_correlation,factor_1_defining_sorts,factor_2_correlation,factor_2_defining_sorts,factor_3_correlation,factor_3_defining_sorts,factor_4_correlation,factor_4_defining_sorts,factor_5_correlation,factor_5_defining_sorts
3536433883,0.8466666667,7,0.6133333333,3,0.8666666667,8,0.4266666667,11,0.6133333333,7
574169528,0.8466666667,14,0.5400000000,2,0.7666666667,7,0.6933333333,8,0.4066666667,8
2960295861,0.8000000000,11,0.5066666667,16,0.8000000000,11,0.0000000000,0,0.0000000000,0
3186622104,0.9466666667,20,0.6866666667,9,0.0000000000,0,0.0000000000,0,0.6666666667,10
2139420370,0.8600000000,13,0.7200000000,8,0.9400000000,8,0.8400000000,8,0.0000000000,0
3512422617,0.8000000000,15,0.7600000000,13,0.8133333333,14,0.0000000000,0,0.0000000000,0
1335196859,0.9600000000,24,0.5866666667,4,0.3666666667,4,0.4533333333,6,0.0000000000,0
3844116889,0.8666666667,10,0.8533333333,9,0.8933333333,7,0.6733333333,8,0.3000000000,5
2643492411,0.9533333333,17,0.7333333333,7,0.8600000000,6,0.4866666667,8,0.0000000000,0
3421800787,0.8400000000,9,0.7000000000,4,0.7800000000,10,0.0000000000,0,0.3133333333,9
3008074593,0.8400000000,6,0.7200000000,6,0.7866666667,11,0.3466666667,7,0.4533333333,5
2760900942,0.9666666667,15,0.8866666667,7,0.8266666667,10,0.5600000000,5,0.0866666667,3
1349405127,0.5266666667,5,0.8066666667,5,0.8533333333,8,0.4200000000,2,0.4200000000,18
1599192483,0.8866666667,18,0.0000000000,0,0.0000000000,1,0.0000000000,0,0.8000000000,15
443199655,0.9400000000,15,0.8333333333,8,0.8000000000,5,0.4000000000,3,0.1200000000,4
658486493,0.8866666667,20,0.7266666667,10,0.7666666667,8,0.0000000000,0,0.5466666667,3
2255720551,0.9533333333,15,0.9200000000,9,0.0000000000,0,0.8400000000,11,0.0000000000,0
4096772546,0.7200000000,9,0.6933333333,8,0.7800000000,12,0.6733333333,11,0.0000000000,0
2637325689,0.9000000000,22,0.7000000000,7,0.8533333333,12,0.0000000000,0,0.0000000000,0
4290993196,0.8533333333,18,0.7800000000,7,0.6666666667,9,0.6800000000,6,0.0000000000,0
2764040342,0.5600000000,3,0.4533333333,5,0.8266666667,6,0.0000000000,0,0.5133333333,14
4218858041,0.9133333333,14,0.9000000000,6,0.8866666667,7,0.4600000000,9,0.0000000000,0
3939724998,0.9533333333,19,0.5866666667,2,0.0000000000,0,0.7200000000,7,0.5800000000,9
849273984,0.8600000000,16,0.8266666667,13,0.0000000000,0,0.0000000000,0,0.6333333333,7
2774273565,0.8200000000,14,0.5266666667,7,0.0000000000,0,0.7533333333,7,0.7133333333,10
3982705741,0.8866666667,14,0.8133333333,14,0.7133333333,7,0.0000000000,0,0.2066666667,4
2085207214,0.7933333333,11,0.8600000000,3,0.6666666667,13,0.4000000000,2,0.6133333333,8
3957752930,0.9466666667,21,0.7266666667,10,0.8466666667,8,0.0000000000,0,0.5466666667,2
1901295011,0.6866666667,9,0.8333333333,11,0.8333333333,10,0.0000000000,0,0.5466666667,3
2346791843,0.9666666667,22,0.7466666667,8,0.3533333333,5,0.3466666667,4,0.0000000000,0
2260786751,0.9333333333,17,0.7800000000,9,0.8200000000,8,0.0000000000,0,0.5466666667,4
3679742843,0.8400000000,11,0.6600000000,12,0.8333333333,7,0.4800000000,4,0.0000000000,0
3346545783,0.7800000000,9,0.7533333333,14,0.6466666667,8,0.8066666667,6,0.0000000000,0
4212599844,0.8133333333,14,0.4266666667,4,0.8533333333,14,0.0000000000,0,0.3466666667,10
1385694752,0.8866666667,12,0.4866666667,8,0.7066666667,11,0.7066666667,4,0.0000000000,0
3421719053,0.9333333333,20,0.0000000000,0,0.6866666667,6,0.4800000000,5,0.3466666667,5
1961490387,0.9600000000,15,0.8600000000,6,0.1733333333,3,0.4266666667,6,0.0000000000,0
3931996639,0.9000000000,10,0.6000000000,6,0.7866666667,7,0.0000000000,0,0.6333333333,10
