run_id,factor_1_correlation,factor_1_defining_sorts,factor_2_correlation,factor_2_defining_sorts,factor_3_correlation,factor_3_defining_sorts,factor_4_correlation,factor_4_defining_sorts,factor_5_correlation,factor_5_defining_sorts
P1,0.8933333333,16,0.8133333333,7,0.8533333333,9,0.0000000000,0,0.0000000000,0
P2,0.9133333333,7,0.8800000000,5,0.9466666667,7,0.9266666667,4,0.5933333333,8
P3,0.9200000000,15,0.8600000000,7,0.8600000000,5,0.8533333333,7,0.0000000000,0
P4,0.9266666667,14,0.8533333333,6,0.9066666667,6,0.8800000000,3,0.0000000000,0
P5,0.9333333333,16,0.8133333333,7,0.8533333333,9,0.0000000000,0,0.0000000000,0
P6,0.9800000000,16,0.8733333333,7,0.9266666667,7,0.8200000000,2,0.0000000000,1
P7,0.9800000000,16,0.9733333333,7,0.9933333333,6,0.9533333333,6,0.9866666667,2
P8,0.9200000000,14,0.8200000000,5,0.8733333333,6,0.8866666667,6,0.0000000000,0
P9,0.9333333333,15,0.8466666667,6,0.8933333333,6,0.8066666667,5,0.0000000000,0
P10,0.9266666667,15,0.8733333333,6,0.9400000000,7,0.8866666667,3,0.0000000000,1
P11,0.9466666667,15,0.8800000000,5,0.9400000000,6,0.8866666667,6,0.0000000000,1
P12,0.9600000000,14,0.8600000000,5,0.9266666667,7,0.9000000000,5,0.0000000000,1
P13,0.9400000000,14,0.8400000000,4,0.9200000000,7,0.9000000000,5,0.0000000000,1
P14,0.9333333333,14,0.8666666667,6,0.9133333333,7,0.9200000000,4,0.0000000000,0
P15,0.9266666667,16,0.8800000000,7,0.8733333333,11,0.0000000000,0,0.0000000000,0
P16,0.9066666667,15,0.8133333333,7,0.8600000000,9,0.0000000000,0,0.0000000000,0
P17,0.9200000000,13,0.8600000000,6,0.8800000000,8,0.8400000000,4,0.0000000000,0
P18,0.9800000000,17,0.9133333333,7,0.9466666667,6,0.8200000000,8,0.0000000000,0
P19,0.9800000000,17,0.9533333333,9,0.9266666667,9,0.0000000000,0,0.0000000000,1
P20,0.8733333333,12,0.8466666667,6,0.8600000000,11,0.0000000000,0,0.0000000000,0
P21,0.9266666667,15,0.8733333333,6,0.9466666667,6,0.8800000000,5,0.0000000000,0
P22,0.9600000000,17,0.8200000000,7,0.8866666667,10,0.0000000000,0,0.0000000000,0
P23,0.9333333333,17,0.8733333333,6,0.8800000000,5,0.8933333333,6,0.0000000000,0
P24,0.9800000000,16,0.9800000000,8,0.9733333333,7,0.6666666667,2,0.0000000000,0
P25,0.8733333333,14,0.7666666667,8,0.8533333333,9,0.0000000000,0,0.0000000000,0
P26,0.9200000000,15,0.8733333333,6,0.9133333333,7,0.9333333333,6,0.0000000000,0
P27,0.8666666667,16,0.7333333333,8,0.8533333333,9,0.0000000000,0,0.0000000000,0
P28,0.9333333333,17,0.8133333333,7,0.8600000000,9,0.0000000000,0,0.0000000000,0
P29,0.9866666667,16,0.8800000000,6,0.9400000000,6,0.9200000000,5,0.0000000000,0
P30,0.9066666667,16,0.8133333333,7,0.8600000000,9,0.0000000000,0,0.0000000000,0
P31,0.9266666667,16,0.8533333333,5,0.9133333333,5,0.9133333333,7,0.0000000000,0
P32,0.9266666667,18,0.8533333333,4,0.9133333333,7,0.8866666667,5,0.0000000000,0
P33,0.9333333333,17,0.8133333333,7,0.8600000000,9,0.0000000000,0,0.0000000000,0
P34,0.9466666667,16,0.9200000000,7,0.9066666667,5,0.8533333333,7,0.0000000000,0
P35,0.9066666667,16,0.8066666667,4,0.9200000000,9,0.9066666667,6,0.0000000000,1
P36,0.9200000000,16,0.8133333333,7,0.8600000000,9,0.0000000000,0,0.0000000000,0
P37,0.9200000000,16,0.8133333333,7,0.8600000000,9,0.0000000000,0,0.0000000000,0
P38,0.9800000000,15,0.9400000000,10,0.9866666667,6,0.9466666667,4,0.0000000000,0
P39,0.9866666667,16,0.8333333333,5,0.0000000000,0,0.7666666667,10,0.7400000000,4
P40,0.9200000000,15,0.8200000000,5,0.9333333333,7,0.8933333333,3,0.0000000000,1
P41,0.9800000000,19,0.7666666667,5,0.9600000000,6,0.8800000000,4,0.0000000000,0
P42,0.9333333333,16,0.8266666667,6,0.8600000000,9,0.0000000000,0,0.0000000000,0
P43,0.9533333333,14,0.9400000000,6,0.9200000000,6,0.5133333333,2,0.0000000000,0
P44,0.9533333333,17,0.8066666667,7,0.9133333333,5,0.0000000000,0,0.0000000000,0
P45,0.9266666667,14,0.8666666667,6,0.9266666667,7,0.8800000000,5,0.0000000000,0
P46,0.8666666667,16,0.8333333333,6,0.8466666667,9,0.0000000000,0,0.0000000000,0
P47,0.9400000000,9,0.8266666667,5,0.9400000000,8,0.9200000000,4,0.6000000000,5
