component,observed,null_mean,null_percentile,retained
1,15.1093464631,3.7232727977,4.1091918133,true
2,3.9597822331,3.3575959570,3.6216611567,true
3,3.0233705601,3.0878277626,3.2947439285,false
4,2.5773903223,2.8628913749,3.0411651112,false
5,1.7613850062,2.6636633353,2.8197383529,false
6,1.6933243669,2.4904082775,2.6273072396,false
7,1.6353037075,2.3265116417,2.4607051111,false
8,1.5267212889,2.1748229630,2.3010855649,false
9,1.4219039491,2.0356435816,2.1515643267,false
10,1.3895821193,1.9062698877,2.0236416987,false
11,1.2178301683,1.7773476511,1.8904603239,false
12,1.1624147134,1.6601149766,1.7614833423,false
13,1.0518989514,1.5495141340,1.6521392780,false
14,0.9859292773,1.4440191293,1.5369554977,false
15,0.8411271103,1.3460064034,1.4392037631,false
16,0.7593287349,1.2506485265,1.3383884197,false
17,0.7246142658,1.1604542822,1.2485040402,false
18,0.6594718841,1.0747364772,1.1557330557,false
19,0.6287475754,0.9924282786,1.0728153085,false
20,0.5804288967,0.9162003582,0.9895001631,false
21,0.5390800139,0.8411301071,0.9134978791,false
22,0.4909054486,0.7703660938,0.8388307880,false
23,0.4435925580,0.7042322211,0.7694974509,false
24,0.4266519520,0.6411702664,0.7082833312,false
25,0.3998652369,0.5800787368,0.6396484235,false
26,0.3351923701,0.5233683105,0.5784235008,false
27,0.2837113910,0.4700020496,0.5230520563,false
28,0.2125591594,0.4202327177,0.4707382306,false
29,0.1920502067,0.3732741182,0.4230124480,false
30,0.1740540467,0.3292080004,0.3781374043,false
31,0.1721047564,0.2875455475,0.3339363555,false
32,0.1176017275,0.2494013741,0.2913510231,false
33,0.1041157332,0.2149037202,0.2528714488,false
34,0.0889973713,0.1818870838,0.2169417635,false
35,0.0750030731,0.1504047099,0.1808228321,false
36,0.0665764276,0.1247212878,0.1542054944,false
37,0.0490577611,0.0996842323,0.1252758534,false
38,0.0418919248,0.0775064840,0.1011606043,false
39,0.0287892576,0.0587099339,0.0793642600,false
40,0.0185835926,0.0426788328,0.0596871934,false
41,0.0128878913,0.0287961238,0.0415417054,false
42,0.0094048018,0.0176579896,0.0273561472,false
43,0.0059097045,0.0093043314,0.0168671655,false
44,0.0015119996,0.0033579314,0.0077239779,false
45,0.0000000000,0.0000000000,0.0000000000,false
46,0.0000000000,-0.0000000000,0.0000000000,false
47,-0.0000000000,-0.0000000000,-0.0000000000,false
