run_id,factor_1_correlation,factor_1_defining_sorts,factor_2_correlation,factor_2_defining_sorts,factor_3_correlation,factor_3_defining_sorts,factor_4_correlation,factor_4_defining_sorts,factor_5_correlation,factor_5_defining_sorts
P1,0.9733333333,16,0.9666666667,5,0.9733333333,7,0.9933333333,4,0.0000000000,1
P2,0.9466666667,17,1.0000000000,6,0.9666666667,7,0.6666666667,4,0.0000000000,1
P3,0.9933333333,16,0.9666666667,5,0.9200000000,6,0.9733333333,4,0.0000000000,2
P4,0.9466666667,17,0.9533333333,5,0.9466666667,5,0.5266666667,4,0.0000000000,1
P5,0.9933333333,15,1.0000000000,6,0.9933333333,6,1.0000000000,4,0.0000000000,1
P6,0.9866666667,17,0.8533333333,5,0.9733333333,7,0.9933333333,4,0.0000000000,1
P7,0.9666666667,17,0.9333333333,6,0.9733333333,8,0.9666666667,4,0.0000000000,2
P8,0.9600000000,15,0.9666666667,5,0.9666666667,6,0.8400000000,6,0.0000000000,1
P9,0.9333333333,17,0.9533333333,5,0.9466666667,6,0.8133333333,8,0.0000000000,3
P10,0.9466666667,16,1.0000000000,6,0.9733333333,7,0.9333333333,5,0.0000000000,1
P11,0.9600000000,17,1.0000000000,6,0.9600000000,6,0.9800000000,4,0.0000000000,2
P12,0.9800000000,13,0.9666666667,5,0.9666666667,7,0.9600000000,4,0.0000000000,2
P13,0.9666666667,17,0.8400000000,5,0.9666666667,7,0.9933333333,4,0.0000000000,1
P14,0.9933333333,16,1.0000000000,6,0.9733333333,7,0.9733333333,4,0.0000000000,2
P15,0.9600000000,17,1.0000000000,6,0.9600000000,6,0.7466666667,3,0.0000000000,2
P16,0.9800000000,16,0.9666666667,5,0.9800000000,8,0.9866666667,4,0.0000000000,2
P17,0.9866666667,13,0.9866666667,6,0.9666666667,6,0.4200000000,3,0.0000000000,1
P18,0.9800000000,18,1.0000000000,6,0.9666666667,7,0.8333333333,4,0.0000000000,3
P19,0.9466666667,17,0.9533333333,5,0.9466666667,5,0.9333333333,6,0.0000000000,2
P20,0.9866666667,16,0.9666666667,5,0.9733333333,9,0.9733333333,4,0.0000000000,3
P21,0.9733333333,19,1.0000000000,6,0.9466666667,6,1.0000000000,4,0.0000000000,2
P22,0.9466666667,16,1.0000000000,6,0.9666666667,7,0.8933333333,5,0.0000000000,1
P23,0.9466666667,17,0.9133333333,6,0.8933333333,5,0.6533333333,6,0.0000000000,1
P24,0.9866666667,18,0.9666666667,5,0.9733333333,7,0.8533333333,4,0.0000000000,2
P25,0.9800000000,15,1.0000000000,6,1.0000000000,6,1.0000000000,4,0.0000000000,1
P26,0.9800000000,17,1.0000000000,6,0.9733333333,6,0.6466666667,2,0.0000000000,3
P27,0.9933333333,16,0.9666666667,5,0.9866666667,9,0.9733333333,4,0.0000000000,2
P28,0.9533333333,16,1.0000000000,6,0.9666666667,7,0.7533333333,5,0.0000000000,1
P29,0.9600000000,17,1.0000000000,6,0.9600000000,6,0.8066666667,3,0.0000000000,3
P30,0.9466666667,16,1.0000000000,6,0.9666666667,7,0.8133333333,8,0.0000000000,2
P31,0.9800000000,17,1.0000000000,6,0.9733333333,7,0.9600000000,4,0.0000000000,2
P32,0.9866666667,18,0.9466666667,5,0.9800000000,8,0.9666666667,4,0.0000000000,2
P33,0.9866666667,16,0.9666666667,5,1.0000000000,6,0.9333333333,5,0.0000000000,1
P34,0.9533333333,16,1.0000000000,6,0.9133333333,7,0.8533333333,6,0.0000000000,0
P35,0.9866666667,18,0.9666666667,5,0.9666666667,8,0.9600000000,4,0.0000000000,2
P36,0.9600000000,15,1.0000000000,6,0.9666666667,7,0.9066666667,5,0.0000000000,1
P37,0.9866666667,16,0.9666666667,5,0.9866666667,6,0.6666666667,4,0.0000000000,0
P38,0.9866666667,18,0.9600000000,5,0.9733333333,9,0.9666666667,4,0.0000000000,2
P39,0.9666666667,15,1.0000000000,6,0.9200000000,6,0.7666666667,4,0.0000000000,1
P40,0.9533333333,16,0.9800000000,6,0.9666666667,7,0.6533333333,6,0.0000000000,1
P41,0.9933333333,16,1.0000000000,6,0.9666666667,7,0.9933333333,4,0.0000000000,1
P42,0.9466666667,16,0.9600000000,5,0.9466666667,5,0.7800000000,8,0.0000000000,2
P43,0.9733333333,15,0.9866666667,6,0.9800000000,7,0.6266666667,4,0.0000000000,0
P44,0.9733333333,17,0.9133333333,6,0.9800000000,6,0.9000000000,3,0.0000000000,2
P45,0.9866666667,15,1.0000000000,6,0.9800000000,8,0.8000000000,2,0.0000000000,2
P46,0.9466666667,17,0.9600000000,5,0.9466666667,5,0.8533333333,7,0.0000000000,1
P47,0.9933333333,16,0.9666666667,5,0.9800000000,8,0.9933333333,4,0.0000000000,2
