method,factor_count,threshold,threshold_value,defining_counts,all_factors_have_minimum,total_variance_percent,parallel_supported_count,scree_supported_count,interpretability
pca,2,p01,0.3846036921299638,21;11,True,40.5726142472201,2,2,pending_independent_assessment
pca,2,source,0.384,21;11,True,40.5726142472201,2,2,pending_independent_assessment
pca,3,p01,0.3846036921299638,18;7;9,True,47.00531756664162,2,2,pending_independent_assessment
pca,3,source,0.384,18;7;9,True,47.00531756664162,2,2,pending_independent_assessment
pca,4,p01,0.3846036921299638,18;6;6;6,True,52.48912676301718,2,2,pending_independent_assessment
pca,4,source,0.384,18;6;6;6,True,52.48912676301718,2,2,pending_independent_assessment
pca,5,p01,0.3846036921299638,16;6;6;4;1,False,56.23675443588646,2,2,pending_independent_assessment
pca,5,source,0.384,16;6;6;4;1,False,56.23675443588646,2,2,pending_independent_assessment
pca,6,p01,0.3846036921299638,15;6;5;2;2;1,False,59.839572237862974,2,2,pending_independent_assessment
pca,6,source,0.384,15;6;5;2;2;1,False,59.839572237862974,2,2,pending_independent_assessment
pca,7,p01,0.3846036921299638,17;1;5;4;5;1;3,False,63.31894182833208,2,2,pending_independent_assessment
pca,7,source,0.384,17;1;5;4;5;1;3,False,63.31894182833208,2,2,pending_independent_assessment
pca,8,p01,0.3846036921299638,16;3;5;4;2;1;1;5,False,66.56728499618536,2,2,pending_independent_assessment
pca,8,source,0.384,16;3;5;4;2;1;1;5,False,66.56728499618536,2,2,pending_independent_assessment
centroid,2,p01,0.3846036921299638,23;11,True,37.76540238948931,2,2,pending_independent_assessment
centroid,2,source,0.384,23;11,True,37.76540238948931,2,2,pending_independent_assessment
centroid,3,p01,0.3846036921299638,17;9;8,True,43.22628931226444,2,2,pending_independent_assessment
centroid,3,source,0.384,17;9;8,True,43.22628931226444,2,2,pending_independent_assessment
centroid,4,p01,0.3846036921299638,15;10;6;5,True,47.41171996128307,2,2,pending_independent_assessment
centroid,4,source,0.384,15;11;6;5,True,47.41171996128307,2,2,pending_independent_assessment
centroid,5,p01,0.3846036921299638,17;8;6;5;2,True,50.0779362724013,2,2,pending_independent_assessment
centroid,5,source,0.384,17;8;6;5;2,True,50.0779362724013,2,2,pending_independent_assessment
centroid,6,p01,0.3846036921299638,19;7;6;4;1;2,False,52.5272979561789,2,2,pending_independent_assessment
centroid,6,source,0.384,19;7;6;4;1;2,False,52.5272979561789,2,2,pending_independent_assessment
centroid,7,p01,0.3846036921299638,19;7;7;4;1;2;0,False,53.13571158353472,2,2,pending_independent_assessment
centroid,7,source,0.384,19;7;7;4;1;2;0,False,53.13571158353472,2,2,pending_independent_assessment
centroid,8,p01,0.3846036921299638,17;3;4;3;1;3;0;5,False,55.87823636986636,2,2,pending_independent_assessment
centroid,8,source,0.384,17;3;4;3;1;3;0;5,False,55.87823636986636,2,2,pending_independent_assessment
